ticker,date,breakout_date,lead_days,breakout_day_ret_pct,top_rank,rank_weight,post_break_close_drawdown_pct,post_break_high_entry_drawdown_pct,safe_after_break,future_breakout,future_max_ret_pct,Open,High,Low,Close,Volume,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up
BAPA,2026-07-14,2026-07-15,1,17.29323308270676,3,1.0,-34.61538461538461,-35.44303797468354,0,1,17.29323308270676,252.0,276.0,222.0,266.0,104076900.0,3.42834470384353,27684455400.0,86.46616541353383,86.46616541353383,103.00751879699249,0.8148148147997257,46.04538377480643,-8.103261161074418,0,75.2024662297836,-0.06689967676626465,-103.08411771502273,-9.184021850460901,2.323434374519165,20.30075187969925,1
MLPT,2026-07-15,2026-07-16,1,19.975786924939463,2,1.0,0.908173562058523,0.908173562058523,1,1,19.975786924939463,756.0,898.0,744.0,826.0,2902500.0,3.489105935386923,2397465000.0,8.716707021791766,8.716707021791766,26.634382566585955,0.532467532464075,62.65129070958656,11.92160750412212,1,13.375909855460613,0.03322367352885392,76.90883850069412,13.531716033262326,10.47432607814088,18.64406779661017,5
BKDP,2026-07-15,2026-07-16,1,8.333333333333325,8,1.0,-8.974358974358976,-12.345679012345679,0,1,8.333333333333325,148.0,155.0,136.0,144.0,35465000.0,1.9974385026617494,5106960000.0,19.444444444444446,19.444444444444446,66.66666666666666,0.4210526315567867,65.74579253952164,4.65819990289007,1,53.24616128145805,0.3234941421033612,582.9219707355287,27.040141155712398,26.00630031501575,13.194444444444445,0
BKDP,2026-07-14,2026-07-16,2,8.333333333333325,8,1.0,-8.974358974358976,-12.345679012345679,0,1,8.333333333333325,135.0,172.0,118.0,148.0,104376500.0,6.530882574698144,15447722000.0,16.216216216216218,16.216216216216218,64.86486486486487,0.5555555555452675,68.41168242153003,3.192561204612905,1,54.326513132687474,0.376905690325786,682.1441960663626,31.672597864768676,30.85764809902742,36.486486486486484,3
MLPT,2026-07-16,2026-07-17,1,17.96165489404642,2,1.0,-14.456800684345595,-15.254237288135597,0,1,17.96165489404642,900.0,991.0,855.0,991.0,3282500.0,3.3949579831932737,3252957500.0,0.0,0.0,29.36427850655903,0.9999999999926471,74.94013960317427,25.200271328464996,1,16.236794595311782,0.18111967552491035,138.14432989690718,34.15459591173683,32.33872307462416,13.723511604439958,6
MLPT,2026-07-15,2026-07-17,2,17.96165489404642,2,1.0,-14.456800684345595,-15.254237288135597,0,1,17.96165489404642,756.0,898.0,744.0,826.0,2902500.0,3.489105935386923,2397465000.0,8.716707021791766,8.716707021791766,26.634382566585955,0.532467532464075,62.65129070958656,11.92160750412212,1,13.375909855460613,0.03322367352885392,76.90883850069412,13.531716033262326,10.47432607814088,18.64406779661017,5
BRIS,2026-07-16,2026-07-17,1,9.770114942528728,3,1.0,-2.617801047120416,-2.617801047120416,1,1,9.770114942528728,1740.0,1755.0,1730.0,1740.0,11932300.0,1.221771185785543,20762202000.0,5.459770114942529,6.609195402298851,7.758620689655173,0.399999999984,47.39034489323926,1.8568275569615906,1,16.184284068833453,-0.11377196371789239,-7.1654959846312165,-0.28653295128939826,-3.384805088905643,1.4367816091954022,1
RBMS,2026-07-16,2026-07-17,1,8.695652173913038,4,1.0,-13.33333333333333,-14.473684210526317,0,1,8.695652173913038,58.0,74.0,57.0,69.0,373844700.0,2.4960014838016154,25795284300.0,7.246376811594203,23.18840579710145,30.434782608695656,0.705882352899654,59.09413553206738,1.2247401450163324,1,40.30566413925535,-0.18649906231323465,49.0549610595898,17.546848381601357,10.647851186658116,24.637681159420293,1
BUVA,2026-07-16,2026-07-17,1,8.52272727272727,5,1.0,-2.617801047120416,-3.125,1,1,8.52272727272727,850.0,900.0,830.0,880.0,245409900.0,1.3486607333483802,215960712000.0,3.4090909090909087,10.227272727272728,17.045454545454543,0.7142857142755101,55.708497255561404,9.853870011647448,1,28.21308145753072,-0.0320762987565916,82.50899415315462,6.893410264196781,7.2516758074344905,7.954545454545454,2
KLBF,2026-07-16,2026-07-17,1,5.555555555555558,10,1.0,-4.6052631578947345,-4.6052631578947345,1,1,5.555555555555558,705.0,730.0,705.0,720.0,98438200.0,1.1143210876896399,70875504000.0,6.944444444444445,12.5,9.722222222222223,0.599999999976,42.85618879431648,-2.486367747420581,0,26.374672451438656,-0.204736852203555,0.08270744907766181,-2.9976423038059954,-5.428844708069855,3.4722222222222223,1
TLKM,2026-07-16,2026-07-17,1,5.138339920948609,11,0.6,0.0,-0.3745318352059934,1,1,5.138339920948609,2520.0,2560.0,2510.0,2530.0,56858100.0,0.3997237975142198,143850993000.0,2.766798418972332,7.114624505928854,7.114624505928854,0.39999999999200003,49.24245441364603,14.2777198645488,1,22.69851018444597,-0.22485264420848672,-3.34802120709944,1.4841556357801846,-3.503495208499643,1.9762845849802373,1
MINA,2026-07-16,2026-07-17,1,5.109489051094895,12,0.6,-2.083333333333337,-3.424657534246578,1,1,5.109489051094895,272.0,282.0,270.0,274.0,73872000.0,0.9437316364083265,20240928000.0,7.2992700729927,15.328467153284672,12.408759124087592,0.33333333330555553,47.05543286169096,2.526915056240716,1,15.665733238875722,-0.270809144352856,-14.540213458629319,-0.07293946024799003,-7.930107526881727,4.37956204379562,0
GPRA,2026-07-16,2026-07-17,1,4.040404040404044,14,0.6,-1.9417475728155331,-3.809523809523807,1,1,4.040404040404044,100.0,103.0,98.0,99.0,63747400.0,1.9074954162137738,6310992600.0,5.05050505050505,5.05050505050505,8.031293923671507,0.19999999996,45.56704783871591,0.31228933210580234,1,22.89363524272988,-0.06526641814379774,-58.03523379413373,-0.06680001820743708,-3.0624867061477534,5.05050505050505,0
