ticker,date,Open,High,Low,Close,Volume,future_breakout,future_max_ret_pct,sample_weight,vol_ratio_20,value_traded,dist_to_10d_high_pct,dist_to_20d_high_pct,range_10d_pct,close_pos_day,rsi14,macd_hist,macd_bullish,adx14,cmf20,obv_slope_5_pct,price_vs_sma20_pct,price_vs_sma50_pct,intraday_range_pct,consecutive_up,positive_top_rank
AALI,2026-07-16,6300.0,6425.0,6300.0,6425.0,414900.0,0,,1.0,0.3332958452491884,2665732500.0,0.38910505836575876,0.38910505836575876,7.392996108949417,0.999999999992,57.9736741217527,83.9822105591879,1,38.24186123091802,-0.20404085264439625,6.893908213182691,4.940792160065333,-2.0280573345532176,1.9455252918287937,1,
AALI,2026-07-17,6425.0,6450.0,6375.0,6450.0,693500.0,0,,1.0,0.5636057766544487,4473075000.0,0.0,0.0,6.976744186046512,0.9999999999866667,59.153217683707915,84.36009905911959,1,37.404104671254565,-0.1702716969990256,3.688666435930886,5.113057649215726,-1.0356731875719216,1.1627906976744187,2,
AALI,2026-07-20,6450.0,6550.0,6450.0,6525.0,835400.0,0,,1.0,0.6928151732659918,5450985000.0,0.38314176245210724,0.38314176245210724,8.045977011494253,0.7499999999925,62.54915825994453,85.98332105004097,1,37.2225242318138,-0.12137318789102339,6.468810734538484,5.98984771573604,0.6789075759913593,1.532567049808429,3,
AALI,2026-07-21,6525.0,6550.0,6450.0,6500.0,931400.0,0,,1.0,0.8034435760743917,6054100000.0,0.7692307692307693,0.7692307692307693,8.076923076923077,0.499999999995,60.736502078220845,81.72426220490813,1,37.05391382376166,-0.1423109542508035,3.369186123905114,5.2844705405952626,0.7751937984496124,1.5384615384615385,0,
AALI,2026-07-22,6575.0,6575.0,6400.0,6475.0,732300.0,0,,1.0,0.6693661907460553,4741642500.0,1.5444015444015444,1.5444015444015444,8.494208494208493,0.4285714285689796,58.89834860839035,73.81530446819247,1,36.30195475071686,-0.1422783832332496,0.9321503687335269,4.561970125151393,0.9274413529732678,2.7027027027027026,0,
AALI,2026-07-23,6475.0,6700.0,6450.0,6650.0,2312800.0,0,,1.0,2.0150729688521003,15380120000.0,0.7518796992481203,0.7518796992481203,7.142857142857142,0.7999999999968,66.5336053244726,76.62855420336516,1,36.352427644981184,-0.04280147839286815,7.34969072582414,6.870229007633588,4.117739157664005,3.7593984962406015,1,
AALI,2026-07-24,6650.0,6675.0,6475.0,6525.0,1072300.0,0,,1.0,1.0359485648590934,6996757500.0,2.681992337164751,2.681992337164751,6.513409961685824,0.24999999999875,58.2149094641415,66.69484953775644,1,36.399295332512345,0.055151825613412885,1.4243065057843016,4.316546762589928,2.5056947608200453,3.065134099616858,0,
AALI,2026-07-27,6500.0,6575.0,6425.0,6575.0,1176800.0,0,,1.0,1.1461574797781304,7737460000.0,1.9011406844106464,1.9011406844106464,6.4638783269961975,0.9999999999933334,60.350400105919334,60.308422131535174,1,35.83533203550053,0.12018019672541914,2.6813734210994484,4.614160700079554,3.6249014972419227,2.2813688212927756,1,
AALI,2026-07-28,6500.0,6575.0,6475.0,6550.0,466500.0,0,,1.0,0.48271437588601057,3055575000.0,2.2900763358778624,2.2900763358778624,6.488549618320611,0.7499999999925,58.73410242761437,51.55636658752001,1,35.311651831132416,0.15211526607204842,4.19645686104338,3.721298495645289,3.573687539531942,1.5267175572519083,0,
ACES,2026-07-16,346.0,348.0,342.0,346.0,10386600.0,0,,1.0,0.5408459329027366,3593763600.0,2.8901734104046244,2.8901734104046244,8.092485549132949,0.6666666665555555,57.412994770732816,1.187365957327426,1,24.017254082312483,0.0022158844616184076,14.173527710369967,2.640318511648169,4.9136417867413265,1.7341040462427744,0,
