ticker,date,close,breakout_similarity,drop_risk_score,combined_breakout_score,reasons,drop_risk_reasons,vol_ratio_20,dist_to_20d_high_pct,close_pos_day,rsi14,adx14,cmf20,range_10d_pct,macd_hist,ret_1d_pct,status_note
PAMG,2026-07-28,59.0,52,69,57,vol_ratio_20 2.59 >= 0.7094; cmf20 0.12 >= -0.1128; adx14 62.24 >= 21.8848; price_vs_sma20_pct 9.26 >= 1.6474; intraday_range_pct 18.64 >= 3.4525; obv_slope_5_pct 32.05 >= 1.0723; value_traded 7316979400.00 >= 3551756675.0,"value_traded >= 4949096700.0; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108; range_10d_pct between [10.9091, 36.1498]",2.59,18.64,0.0,57.0,62.24,0.116,33.9,0.8661,-6.35,SETUP_CANDIDATE
PRIM,2026-07-28,102.0,52,69,57,"vol_ratio_20 1.30 >= 0.7094; dist_to_20d_high_pct 7.84 <= 14.4666; cmf20 0.09 >= -0.1128; adx14 32.44 >= 21.8848; range_10d_pct 20.59 in [11.8329, 33.5067]; price_vs_sma20_pct 6.19 >= 1.6474; intraday_range_pct 6.86 >= 3.4525","dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108; range_10d_pct between [10.9091, 36.1498]",1.3,7.84,0.14,63.44,32.44,0.089,20.59,0.6439,-4.67,SETUP_CANDIDATE
TOTL,2026-07-28,1070.0,48,77,57,vol_ratio_20 1.87 >= 0.7094; dist_to_20d_high_pct 1.40 <= 14.4666; close_pos_day 0.57 >= 0.25; cmf20 0.34 >= -0.1128; macd_hist 2.35 >= 1.6646; price_vs_sma20_pct 1.90 >= 1.6474; obv_slope_5_pct 2.26 >= 1.0723,adx14 <= 28.5159; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,1.87,1.4,0.57,56.41,19.9,0.336,4.67,2.3493,1.9,SETUP_CANDIDATE
SMGR,2026-07-28,1480.0,44,88,57,vol_ratio_20 0.95 >= 0.7094; dist_to_20d_high_pct 4.73 <= 14.4666; close_pos_day 0.77 >= 0.25; cmf20 -0.09 >= -0.1128; macd_hist 11.62 >= 1.6646; intraday_range_pct 4.39 >= 3.4525; value_traded 22206808000.00 >= 3551756675.0,macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,0.95,4.73,0.77,47.33,21.82,-0.087,8.11,11.6163,1.72,SETUP_CANDIDATE
GDST,2026-07-28,97.0,51,69,56,vol_ratio_20 4.21 >= 0.7094; cmf20 -0.06 >= -0.1128; adx14 45.73 >= 21.8848; price_vs_sma20_pct 10.35 >= 1.6474; intraday_range_pct 23.71 >= 3.4525; obv_slope_5_pct 58.99 >= 1.0723; value_traded 9098115000.00 >= 3551756675.0,"value_traded >= 4949096700.0; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108; range_10d_pct between [10.9091, 36.1498]",4.21,22.68,0.04,59.88,45.73,-0.06,34.02,1.2907,-5.83,SETUP_CANDIDATE
DKFT,2026-07-28,655.0,47,77,56,vol_ratio_20 0.89 >= 0.7094; dist_to_20d_high_pct 3.82 <= 14.4666; close_pos_day 1.00 >= 0.25; cmf20 -0.02 >= -0.1128; macd_hist 2.85 >= 1.6646; price_vs_sma20_pct 2.30 >= 1.6474; obv_slope_5_pct 6.73 >= 1.0723,adx14 <= 28.5159; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,0.89,3.82,1.0,50.93,18.05,-0.017,9.16,2.8461,1.55,SETUP_CANDIDATE
SMRA,2026-07-28,320.0,47,77,56,"vol_ratio_20 0.72 >= 0.7094; dist_to_20d_high_pct 7.50 <= 14.4666; cmf20 0.14 >= -0.1128; adx14 33.90 >= 21.8848; range_10d_pct 17.50 in [11.8329, 33.5067]; macd_hist 3.59 >= 1.6646; price_vs_sma20_pct 7.31 >= 1.6474",macd_hist >= 3.3342; dist_to_20d_high_pct <= 13.6802; cmf20 >= -0.1108; close_pos_day >= 0.2258,0.72,7.5,0.25,61.68,33.9,0.145,17.5,3.5942,0.63,SETUP_CANDIDATE
LSIP,2026-07-28,1385.0,46,80,56,vol_ratio_20 0.74 >= 0.7094; dist_to_20d_high_pct 2.17 <= 14.4666; close_pos_day 0.67 >= 0.25; cmf20 0.06 >= -0.1128; adx14 28.03 >= 21.8848; macd_hist 8.38 >= 1.6646; price_vs_sma20_pct 6.14 >= 1.6474,macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,0.74,2.17,0.67,68.12,28.03,0.057,8.3,8.3789,1.47,SETUP_CANDIDATE
BRPT,2026-07-28,1745.0,40,92,56,"dist_to_20d_high_pct 10.32 <= 14.4666; close_pos_day 0.33 >= 0.25; cmf20 0.06 >= -0.1128; range_10d_pct 15.19 in [11.8329, 33.5067]; macd_hist 14.83 >= 1.6646; price_vs_sma20_pct 5.18 >= 1.6474; intraday_range_pct 5.16 >= 3.4525",macd_hist >= 3.3342; adx14 <= 28.5159; value_traded >= 4949096700.0; dist_to_20d_high_pct <= 13.6802,0.48,10.32,0.33,53.49,20.27,0.058,15.19,14.8331,1.16,SETUP_CANDIDATE
TMPO,2026-07-28,107.0,46,76,55,"vol_ratio_20 1.79 >= 0.7094; dist_to_20d_high_pct 7.48 <= 14.4666; cmf20 0.01 >= -0.1128; range_10d_pct 13.08 in [11.8329, 33.5067]; price_vs_sma20_pct 3.13 >= 1.6474; intraday_range_pct 8.41 >= 3.4525; obv_slope_5_pct 2.98 >= 1.0723",adx14 <= 28.5159; dist_to_20d_high_pct <= 13.6802; vol_ratio_20 >= 0.8011; cmf20 >= -0.1108,1.79,7.48,0.11,51.45,18.4,0.009,13.08,1.0279,-6.14,SETUP_CANDIDATE
